nom,coordonnees,num_insee,dep
Saint-Julien-sur-Veyle,Point(4.954166666 46.202222222),1368,1540
Saint-Just (Ain),Point(5.28 46.190277777),1369,1250
Saint-Laurent-sur-Saône,Point(4.839444444 46.305277777),1370,1750
Saint-Marcel (Ain),Point(4.987222222 45.948611111),1371,1390
Saint-Martin-de-Bavel,Point(5.6775 45.849166666),1372,1510
Saint-Martin-du-Frêne,Point(5.5525 46.138888888),1373,1430
Saint-Martin-du-Mont (Ain),Point(5.328333333 46.101666666),1374,1160
Saint-Martin-le-Châtel,Point(5.115833333 46.281944444),1375,1310
Saint-Maurice-de-Beynost,Point(4.975277777 45.830277777),1376,1700
Saint-Maurice-de-Gourdans,Point(5.195555555 45.821388888),1378,1800
Saint-Maurice-de-Rémens,Point(5.275555555 45.958611111),1379,1500
Saint-Nizier-le-Bouchoux,Point(5.150833333 46.459722222),1380,1560
Saint-Nizier-le-Désert,Point(5.148333333 46.055833333),1381,1320
Sainte-Olive,Point(4.933611111 46.018611111),1382,1330
Saint-Paul-de-Varax,Point(5.128333333 46.098888888),1383,1240
Saint-Rambert-en-Bugey,Point(5.438055555 45.948611111),1384,1230
Saint-Rémy (Ain),Point(5.168333333 46.189166666),1385,1310
Saint-Sorlin-en-Bugey,Point(5.370555555 45.885),1386,1150
Saint-Sulpice (Ain),Point(5.041666666 46.320277777),1387,1340
Saint-Trivier-de-Courtes,Point(5.081388888 46.459722222),1388,1560
Saint-Trivier-sur-Moignans,Point(4.898333333 46.073333333),1389,1990
Saint-Vulbas,Point(5.290833333 45.833888888),1390,1150
Salavre,Point(5.346111111 46.363888888),1391,1270
Samognat,Point(5.576111111 46.257777777),1392,1580
Sandrans,Point(4.980833333 46.063888888),1393,1400
Sathonay-Camp,Point(4.874444444 45.824722222),1394,69580
Sathonay-Village,Point(4.878333333 45.833333333),1395,69580
Sault-Brénaz,Point(5.41 45.855277777),1396,1150
Sauverny (Ain),Point(6.114722222 46.315277777),1397,1220
Savigneux (Ain),Point(4.847777777 46.001111111),1398,1480
Ségny,Point(6.073333333 46.296944444),1399,1170
Seillonnaz,Point(5.490277777 45.806666666),1400,1470
Sergy (Ain),Point(6.0 46.253055555),1401,1630
Sermoyer,Point(4.980833333 46.499722222),1402,1190
Serrières-de-Briord,Point(5.454444444 45.808055555),1403,1470
Serrières-sur-Ain,Point(5.451111111 46.152777777),1404,1450
Servas (Ain),Point(5.165555555 46.132777777),1405,1960
Servignat,Point(5.069444444 46.433611111),1406,1560
Seyssel (Ain),Point(5.831111111 45.958888888),1407,1420
Simandre-sur-Suran,Point(5.416944444 46.225277777),1408,1250
Sonthonnax-la-Montagne,Point(5.524166666 46.233055555),1410,1580
Souclin,Point(5.418333333 45.876111111),1411,1150
Sulignat,Point(4.963055555 46.177222222),1412,1400
Talissieu,Point(5.725 45.865833333),1415,1510
Tenay,Point(5.508333333 45.92),1416,1230
Thil (Ain),Point(5.021666666 45.814166666),1418,1120
Thoiry (Ain),Point(5.979722222 46.236388888),1419,1710
Thoissey,Point(4.801944444 46.1725),1420,1140
Torcieu,Point(5.395277777 45.9225),1421,1230
Tossiat,Point(5.315 46.141111111),1422,1250
Toussieux,Point(4.828611111 45.960555555),1423,1600
Tramoyes,Point(4.9681 45.8783),1424,1390
La Tranclière,Point(5.261666666 46.111111111),1425,1160
Treffort-Cuisiat,Point(5.368333333 46.271388888),1426,1370
Val-Revermont,Point(5.37 46.2722),1426,1370
Trévoux,Point(4.775 45.940833333),1427,1600
Valeins,Point(4.871666666 46.1125),1428,1140
Vandeins,Point(5.079166666 46.2175),1429,1660
Varambon,Point(5.316388888 46.040277777),1430,1160
Vaux-en-Bugey,Point(5.353611111 45.928055555),1431,1150
Verjon,Point(5.351111111 46.345833333),1432,1270
Vernoux,Point(5.110277777 46.481111111),1433,1560
Versailleux,Point(5.103888888 45.980277777),1434,1330
Versonnex (Ain),Point(6.097222222 46.302222222),1435,1210
Vesancy,Point(6.090833333 46.348611111),1436,1170
Vescours,Point(5.024722222 46.475),1437,1560
Vésines,Point(4.867222222 46.359166666),1439,1570
Vieu-d'Izenave,Point(5.529166666 46.080833333),1441,1430
Villars-les-Dombes,Point(5.029722222 46.0025),1443,1330
Villebois,Point(5.435 45.847777777),1444,1150
Villemotier,Point(5.321111111 46.346111111),1445,1270
Villeneuve (Ain),Point(4.836666666 46.021111111),1446,1480
Villereversure,Point(5.396111111 46.191944444),1447,1250
Villes,Point(5.785 46.088333333),1448,1200
Villette-sur-Ain,Point(5.268611111 45.988333333),1449,1320
Villieu-Loyes-Mollon,Point(5.222222222 45.920555555),1450,1800
Viriat,Point(5.216666666 46.253611111),1451,1440
Virieu-le-Grand,Point(5.651666666 45.849166666),1452,1510
Arvière-en-Valromey,Point(5.7256 45.9083),1453,1260
Virignin,Point(5.713055555 45.717222222),1454,1300
Vongnes,Point(5.724166666 45.814722222),1456,1350
Vonnas,Point(4.990833333 46.219166666),1457,1540
Abbécourt,Point(3.179722222 49.595555555),2001,2300
Achery,Point(3.389722222 49.692222222),2002,2800
Acy,Point(3.413611111 49.345277777),2003,2200
Agnicourt-et-Séchelles,Point(3.953333333 49.716388888),2004,2340
Aguilcourt,Point(3.968055555 49.406111111),2005,2190
Aisonville-et-Bernoville,Point(3.515 49.930833333),2006,2110
Aizelles,Point(3.811388888 49.489722222),2007,2820
Aizy-Jouy,Point(3.516388888 49.434722222),2008,2370
Alaincourt (Aisne),Point(3.375555555 49.764444444),2009,2240
Allemant (Aisne),Point(3.453611111 49.461111111),2010,2320
Ambleny,Point(3.184444444 49.380833333),2011,2290
Ambrief,Point(3.401388888 49.318888888),2012,2200
Amifontaine,Point(3.918333333 49.483055555),2013,2190
Amigny-Rouy,Point(3.304444444 49.61),2014,2700
Ancienville,Point(3.214166666 49.216944444),2015,2600
Andelain,Point(3.370277777 49.6425),2016,2800
Anguilcourt-le-Sart,Point(3.4325 49.689166666),2017,2800
Anizy-le-Grand,Point(3.45033 49.50603),2018,2320
Annois,Point(3.1775 49.720833333),2019,2480
Any-Martin-Rieux,Point(4.220833333 49.881111111),2020,2500
Archon (Aisne),Point(4.118333333 49.741388888),2021,2360
Arcy-Sainte-Restitue,Point(3.464722222 49.252777777),2022,2130
Armentières-sur-Ourcq,Point(3.386388888 49.1825),2023,2210
Arrancy,Point(3.754444444 49.492222222),2024,2860
Artemps,Point(3.19 49.765277777),2025,2480
Assis-sur-Serre,Point(3.558611111 49.688333333),2027,2270
Athies-sous-Laon,Point(3.683055555 49.573055555),2028,2840
Attilly,Point(3.168611111 49.856666666),2029,2490
Aubencheul-aux-Bois,Point(3.264722222 50.028611111),2030,2420
Aubenton,Point(4.204722222 49.836666666),2031,2500
Aubigny-aux-Kaisnes,Point(3.116666666 49.773611111),2032,2590
Aubigny-en-Laonnois,Point(3.791111111 49.498055555),2033,2820
Audignicourt,Point(3.133333333 49.478333333),2034,2300
Audigny,Point(3.646944444 49.869722222),2035,2120
Augy (Aisne),Point(3.513611111 49.338055555),2036,2220
Aulnois-sous-Laon,Point(3.6075 49.612222222),2037,2000
Les Autels (Aisne),Point(4.225 49.763611111),2038,2360
Autremencourt,Point(3.786388888 49.704166666),2039,2250
Autreppes,Point(3.855833333 49.903611111),2040,2580
Autreville (Aisne),Point(3.240277777 49.584722222),2041,2300
Azy-sur-Marne,Point(3.366111111 49.001388888),2042,2400
Bagneux (Aisne),Point(3.278611111 49.4575),2043,2290
Bancigny,Point(4.033611111 49.800555555),2044,2140
Barenton-Bugny,Point(3.651388888 49.633055555),2046,2000
Barenton-Cel,Point(3.652777777 49.6425),2047,2000
Barenton-sur-Serre,Point(3.680277777 49.671388888),2048,2270
Barisis-aux-Bois,Point(3.328055555 49.578611111),2049,2700
Barzy-en-Thiérache,Point(3.746111111 50.043333333),2050,2170
Barzy-sur-Marne,Point(3.559166666 49.080277777),2051,2850
Bassoles-Aulers,Point(3.381111111 49.526111111),2052,2380
Vallées en Champagne,Point(3.614722222 48.987777777),2053,2330
Bazoches-sur-Vesles,Point(3.618611111 49.307222222),2054,2220
Beaumé,Point(4.152222222 49.838055555),2055,2500
Beaumont-en-Beine,Point(3.1325 49.6875),2056,2300
Beaurevoir,Point(3.308888888 49.996388888),2057,2110
Beaurieux (Aisne),Point(3.736944444 49.392222222),2058,2160
Beautor,Point(3.344722222 49.650833333),2059,2800
Beauvois-en-Vermandois,Point(3.103611111 49.838888888),2060,2590
Becquigny (Aisne),Point(3.469722222 50.017222222),2061,2110
Belleau (Aisne),Point(3.293055555 49.083611111),2062,2400
Bellenglise,Point(3.243333333 49.921944444),2063,2420
Belleu,Point(3.335555555 49.358888888),2064,2200
Bellicourt,Point(3.235833333 49.961111111),2065,2420
Benay,Point(3.304722222 49.759444444),2066,2440
Bergues-sur-Sambre,Point(3.705833333 50.033333333),2067,2450
Berlancourt (Aisne),Point(3.758055555 49.778611111),2068,2250
Berlise,Point(4.107222222 49.663888888),2069,2340
